org_name,line_type,as_of_date,policy_count,premium,fee_amount,fee_rate_avg,line_factor,first_day_part,time_part,earned_premium_cum
本部,商业保险,2026-10-31,16,53871.79,3924.05,0.07284053490704505,0.94,3688.607,42334.21304109589,46022.82004109589
本部,商业保险,2026-11-30,16,53871.79,3924.05,0.07284053490704505,0.94,3688.607,45476.616164383566,49165.22316438356
本部,商业保险,2026-12-31,16,53871.79,3924.05,0.07284053490704505,0.94,3688.607,48582.98380821918,52271.590808219175
武侯,交强险,2026-01-31,11526,8117735.63,936238.16,0.11533242799137572,0.82,767715.2912,4306606.555534246,5074321.846734246
武侯,交强险,2026-02-28,11526,8117735.63,936238.16,0.11533242799137572,0.82,767715.2912,4775060.320027397,5542775.611227398
武侯,交强险,2026-03-31,11526,8117735.63,936238.16,0.11533242799137572,0.82,767715.2912,5251383.132191781,6019098.423391781
武侯,交强险,2026-04-30,11526,8117735.63,936238.16,0.11533242799137572,0.82,767715.2912,5654528.761780822,6422244.052980822
武侯,交强险,2026-05-31,11526,8117735.63,936238.16,0.11533242799137572,0.82,767715.2912,6007958.0852054795,6775673.376405479
武侯,交强险,2026-06-30,11526,8117735.63,936238.16,0.11533242799137572,0.82,767715.2912,6294440.028027398,7062155.319227397
武侯,交强险,2026-07-31,11526,8117735.63,936238.16,0.11533242799137572,0.82,767715.2912,6543406.6942191785,7311121.985419178
武侯,交强险,2026-08-31,11526,8117735.63,936238.16,0.11533242799137572,0.82,767715.2912,6749840.965808219,7517556.257008219
武侯,交强险,2026-09-30,11526,8117735.63,936238.16,0.11533242799137572,0.82,767715.2912,6905878.773643835,7673594.064843835
武侯,交强险,2026-10-31,11526,8117735.63,936238.16,0.11533242799137572,0.82,767715.2912,7025832.000191781,7793547.291391781
武侯,交强险,2026-11-30,11526,8117735.63,936238.16,0.11533242799137572,0.82,767715.2912,7108606.639068494,7876321.9302684935
武侯,交强险,2026-12-31,11526,8117735.63,936238.16,0.11533242799137572,0.82,767715.2912,7164369.6044931505,7932084.895693151
武侯,商业保险,2026-01-31,4136,10279133.95,2809409.59,0.273311896086343,0.94,2640845.0146,3912571.7894246574,6553416.804024657
武侯,商业保险,2026-02-28,4136,10279133.95,2809409.59,0.273311896086343,0.94,2640845.0146,4413572.043369863,7054417.057969863
武侯,商业保险,2026-03-31,4136,10279133.95,2809409.59,0.273311896086343,0.94,2640845.0146,4937034.996958904,7577880.011558904
武侯,商业保险,2026-04-30,4136,10279133.95,2809409.59,0.273311896086343,0.94,2640845.0146,5407045.744712329,8047890.759312329
武侯,商业保险,2026-05-31,4136,10279133.95,2809409.59,0.273311896086343,0.94,2640845.0146,5839644.304630137,8480489.319230137
武侯,商业保险,2026-06-30,4136,10279133.95,2809409.59,0.273311896086343,0.94,2640845.0146,6211949.039753425,8852794.054353425
武侯,商业保险,2026-07-31,4136,10279133.95,2809409.59,0.273311896086343,0.94,2640845.0146,6560823.526575343,9201668.541175343
武侯,商业保险,2026-08-31,4136,10279133.95,2809409.59,0.273311896086343,0.94,2640845.0146,6871076.918356164,9511921.932956165
武侯,商业保险,2026-09-30,4136,10279133.95,2809409.59,0.273311896086343,0.94,2640845.0146,7106177.363342466,9747022.377942465
武侯,商业保险,2026-10-31,4136,10279133.95,2809409.59,0.273311896086343,0.94,2640845.0146,7277376.032630137,9918221.047230138
武侯,商业保险,2026-11-30,4136,10279133.95,2809409.59,0.273311896086343,0.94,2640845.0146,7383719.07569863,10024564.09029863
武侯,商业保险,2026-12-31,4136,10279133.95,2809409.59,0.273311896086343,0.94,2640845.0146,7449665.15890411,10090510.173504109
泸州,交强险,2026-01-31,27623,7277214.2,255733.09,0.035141619165201976,0.82,209701.13379999998,3873358.8862465755,4083060.0200465755
泸州,交强险,2026-02-28,27623,7277214.2,255733.09,0.035141619165201976,0.82,209701.13379999998,4336528.03890411,4546229.17270411
泸州,交强险,2026-03-31,27623,7277214.2,255733.09,0.035141619165201976,0.82,209701.13379999998,4814714.306191781,5024415.439991781
泸州,交强险,2026-04-30,27623,7277214.2,255733.09,0.035141619165201976,0.82,209701.13379999998,5236721.936684932,5446423.070484932
泸州,交强险,2026-05-31,27623,7277214.2,255733.09,0.035141619165201976,0.82,209701.13379999998,5622196.668246576,5831897.802046576
泸州,交强险,2026-06-30,27623,7277214.2,255733.09,0.035141619165201976,0.82,209701.13379999998,5948500.549150685,6158201.682950685
泸州,交强险,2026-07-31,27623,7277214.2,255733.09,0.035141619165201976,0.82,209701.13379999998,6237610.20819178,6447311.341991781
泸州,交强险,2026-08-31,27623,7277214.2,255733.09,0.035141619165201976,0.82,209701.13379999998,6479432.943068493,6689134.076868493
泸州,交强险,2026-09-30,27623,7277214.2,255733.09,0.035141619165201976,0.82,209701.13379999998,6670007.0890136985,6879708.222813698
泸州,交强险,2026-10-31,27623,7277214.2,255733.09,0.035141619165201976,0.82,209701.13379999998,6825026.238849315,7034727.372649315
泸州,交强险,2026-11-30,27623,7277214.2,255733.09,0.035141619165201976,0.82,209701.13379999998,6935691.485972603,7145392.619772603
泸州,交强险,2026-12-31,27623,7277214.2,255733.09,0.035141619165201976,0.82,209701.13379999998,7002842.302328767,7212543.436128767
泸州,商业保险,2026-01-31,4435,7375533.99,1714074.07,0.23239999603066028,0.94,1611229.6257999998,3232265.2584931506,4843494.88429315
泸州,商业保险,2026-02-28,4435,7375533.99,1714074.07,0.23239999603066028,0.94,1611229.6257999998,3585948.194219178,5197177.820019178
泸州,商业保险,2026-03-31,4435,7375533.99,1714074.07,0.23239999603066028,0.94,1611229.6257999998,3946705.68260274,5557935.308402739
泸州,商业保险,2026-04-30,4435,7375533.99,1714074.07,0.23239999603066028,0.94,1611229.6257999998,4261486.977178082,5872716.602978082
泸州,商业保险,2026-05-31,4435,7375533.99,1714074.07,0.23239999603066028,0.94,1611229.6257999998,4546055.915643835,6157285.541443836
泸州,商业保险,2026-06-30,4435,7375533.99,1714074.07,0.23239999603066028,0.94,1611229.6257999998,4791475.343479452,6402704.969279452
泸州,商业保险,2026-07-31,4435,7375533.99,1714074.07,0.23239999603066028,0.94,1611229.6257999998,5017333.247123288,6628562.872923288
泸州,商业保险,2026-08-31,4435,7375533.99,1714074.07,0.23239999603066028,0.94,1611229.6257999998,5215769.158821918,6826998.784621918
泸州,商业保险,2026-09-30,4435,7375533.99,1714074.07,0.23239999603066028,0.94,1611229.6257999998,5378024.565479452,6989254.191279452
泸州,商业保险,2026-10-31,4435,7375533.99,1714074.07,0.23239999603066028,0.94,1611229.6257999998,5507790.10369863,7119019.72949863
泸州,商业保险,2026-11-30,4435,7375533.99,1714074.07,0.23239999603066028,0.94,1611229.6257999998,5596086.685479452,7207316.311279452
泸州,商业保险,2026-12-31,4435,7375533.99,1714074.07,0.23239999603066028,0.94,1611229.6257999998,5648423.149671233,7259652.775471233
自贡,交强险,2026-01-31,27285,5331045.899999999,161377.5,0.030271264406108382,0.82,132329.55,2540588.5446027396,2672918.09460274
自贡,交强险,2026-02-28,27285,5331045.899999999,161377.5,0.030271264406108382,0.82,132329.55,2905130.124027397,3037459.6740273973
自贡,交强险,2026-03-31,27285,5331045.899999999,161377.5,0.030271264406108382,0.82,132329.55,3288745.2395342467,3421074.7895342465
自贡,交强险,2026-04-30,27285,5331045.899999999,161377.5,0.030271264406108382,0.82,132329.55,3628610.80309589,3760940.3530958905
自贡,交强险,2026-05-31,27285,5331045.899999999,161377.5,0.030271264406108382,0.82,132329.55,3944007.1868219175,4076336.736821918
自贡,交强险,2026-06-30,27285,5331045.899999999,161377.5,0.030271264406108382,0.82,132329.55,4217624.33539726,4349953.88539726
